 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
785,2453.229,2199.555,3666.607,2449.981,2853.687,3449.234,3927.482,2990.706,1865.757,5122.335,4799.862,1577.012,2723.890,2093.332,1709.477,1734.826,995.307,2234.891,4506.764,5435.692,1663.615,2465.219,1093.433,1123.076,1090.772,977.943,1995.961,3790.511,1031.827,1168.708,1074.156,2454.771,1150.726,1983.274,1216.881,2937.065,3161.030,3553.272,2352.807,2758.719,1727.850,4822.249
786,2451.034,2200.001,3664.375,2451.434,2855.860,3447.789,3924.333,2988.062,1866.362,5114.503,4801.658,1578.453,2719.349,2090.509,1707.822,1732.889,995.895,2233.669,4499.218,5425.299,1663.682,2465.815,1089.684,1124.229,1091.402,979.105,1997.199,3790.403,1031.367,1167.858,1073.505,2454.191,1149.888,1984.893,1215.233,2933.772,3160.924,3553.200,2349.812,2757.205,1725.489,4814.802
787,2451.936,2203.083,3668.265,2449.048,2859.646,3452.967,3927.743,2991.427,1867.158,5121.671,4802.375,1578.524,2723.578,2093.352,1709.119,1736.129,997.445,2236.527,4505.047,5434.367,1666.097,2468.130,1093.294,1123.899,1090.662,979.826,1996.620,3793.256,1032.569,1168.119,1072.767,2456.102,1151.249,1986.306,1216.973,2935.801,3161.796,3553.566,2352.219,2759.964,1727.689,4816.839
788,2454.927,2202.725,3669.101,2452.226,2858.556,3451.531,3928.018,2994.635,1867.451,5126.457,4804.416,1576.717,2725.599,2095.396,1712.217,1735.566,997.857,2236.981,4511.366,5433.870,1667.401,2469.047,1094.561,1122.814,1092.804,980.860,2000.284,3790.729,1030.918,1167.884,1075.903,2455.559,1153.055,1991.049,1219.195,2938.000,3165.684,3553.242,2355.027,2762.793,1729.590,4820.401
789,2451.381,2200.820,3664.986,2448.801,2857.039,3449.950,3925.871,2991.203,1869.810,5122.705,4802.903,1577.598,2722.396,2096.425,1711.559,1735.596,1000.308,2236.898,4504.821,5436.364,1665.086,2465.863,1091.833,1121.068,1092.072,980.371,1999.593,3793.070,1031.190,1167.350,1074.184,2453.556,1152.860,1994.886,1219.462,2933.272,3160.351,3552.096,2352.000,2760.100,1727.735,4821.091
790,2454.008,2197.371,3666.343,2449.971,2856.458,3450.776,3927.492,2990.059,1868.282,5122.612,4805.983,1579.091,2722.389,2092.616,1713.082,1735.503,1001.088,2235.204,4504.028,5428.140,1667.968,2471.992,1094.632,1123.148,1091.952,981.741,1999.713,3794.839,1032.468,1168.323,1073.903,2452.889,1152.274,1998.220,1221.219,2936.484,3162.719,3553.149,2351.688,2762.238,1730.404,4815.544
791,2453.983,2201.040,3667.911,2451.481,2860.111,3450.986,3926.452,2990.642,1869.399,5126.719,4805.481,1578.786,2723.356,2094.700,1714.097,1737.430,1001.659,2236.592,4508.982,5432.704,1670.761,2473.859,1095.182,1124.334,1092.722,982.912,2001.802,3796.237,1033.240,1167.457,1075.506,2458.047,1154.170,2001.983,1222.251,2936.385,3164.734,3555.126,2353.172,2761.036,1729.876,4824.622
792,2457.081,2201.636,3670.088,2453.154,2862.903,3449.710,3930.619,2995.209,1868.960,5127.899,4805.035,1577.794,2722.041,2095.204,1713.483,1737.769,1002.400,2236.452,4509.838,5433.327,1671.970,2476.535,1095.347,1124.561,1094.981,983.611,2003.548,3800.425,1034.660,1170.888,1075.976,2455.768,1155.767,2004.010,1223.648,2935.207,3160.701,3556.451,2353.843,2761.787,1730.312,4825.692
793,2451.245,2201.901,3665.125,2450.346,2856.527,3449.155,3929.481,2993.947,1869.204,5124.162,4799.308,1577.054,2720.435,2091.643,1713.625,1737.012,1001.271,2235.637,4500.672,5423.259,1674.234,2477.502,1095.392,1127.393,1096.336,982.198,2001.719,3797.781,1032.844,1169.283,1075.254,2455.708,1154.462,2003.416,1225.422,2935.307,3160.702,3555.835,2352.850,2762.107,1731.070,4822.009
794,2455.422,2200.070,3667.169,2454.319,2861.721,3450.516,3930.593,2994.994,1869.662,5126.765,4801.842,1577.981,2723.508,2095.058,1714.959,1739.789,1002.602,2237.384,4503.931,5435.879,1673.610,2478.609,1096.478,1124.993,1095.404,985.258,2001.105,3804.164,1034.108,1169.706,1077.994,2457.791,1155.903,2009.620,1225.843,2938.343,3162.607,3557.827,2355.822,2763.092,1730.791,4821.414
