 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
826,4416.552,2236.588,4080.903,2457.767,9889.984,3282.927,2306.710,2316.893,1923.318,3409.871,3114.027,1727.534,3596.939,3004.571,2087.236,2169.103,3364.026,4101.820,7372.957,5032.527,7011.389,1992.749,1733.895,2338.345,1329.461,6993.292,2148.413,12008.367,3710.529,4835.909,1689.388,1746.657,2220.328,6964.457,2375.679,4458.804,4001.006,2067.534,3481.037
827,4419.846,2239.580,4085.351,2459.166,9895.236,3286.253,2306.855,2315.128,1923.697,3411.018,3114.565,1727.229,3596.060,3004.414,2090.171,2168.271,3366.858,4099.986,7370.234,5034.827,7016.474,1992.702,1733.567,2335.608,1329.101,6994.467,2147.577,12016.140,3729.956,4843.905,1688.893,1747.694,2224.030,6966.854,2375.132,4457.954,3998.623,2065.407,3486.220
828,4414.915,2236.710,4081.231,2459.829,9888.873,3284.540,2306.933,2312.398,1923.080,3407.523,3111.108,1728.296,3593.716,3003.331,2090.269,2168.202,3366.379,4100.180,7373.584,5031.011,7017.189,1990.051,1731.743,2333.942,1326.072,6994.765,2146.607,12004.780,3740.376,4841.644,1689.683,1745.219,2223.353,6961.812,2374.696,4457.925,3992.522,2064.442,3482.898
829,4415.776,2238.434,4086.323,2460.197,9899.826,3284.078,2310.365,2316.076,1924.130,3410.887,3115.977,1730.001,3598.414,3005.195,2093.049,2169.282,3368.527,4104.854,7372.181,5036.444,7029.599,1989.363,1733.063,2335.998,1328.804,7001.025,2150.088,12031.893,3753.992,4850.870,1691.517,1744.796,2222.436,6965.507,2377.258,4461.629,3999.822,2067.091,3479.717
830,4410.354,2236.302,4078.274,2457.618,9886.467,3285.114,2306.434,2312.533,1924.046,3410.964,3114.709,1730.033,3596.454,3005.332,2092.352,2167.493,3365.427,4103.514,7365.067,5030.042,7022.093,1987.998,1731.761,2330.402,1328.585,6994.744,2147.819,12023.246,3772.021,4849.963,1688.559,1742.799,2217.897,6966.149,2374.083,4456.841,3995.287,2066.364,3473.560
831,4411.246,2235.779,4078.286,2458.427,9884.312,3281.181,2304.618,2313.841,1921.627,3405.229,3110.965,1730.186,3593.352,3003.931,2089.227,2168.685,3363.675,4098.733,7368.633,5031.657,7021.599,1983.285,1731.120,2327.966,1327.345,6988.114,2145.079,12024.775,3793.246,4847.600,1688.143,1743.089,2221.435,6966.521,2374.866,4456.456,3992.792,2064.945,3479.032
832,4405.107,2237.795,4076.649,2455.381,9874.690,3279.801,2304.134,2312.842,1921.256,3407.394,3110.260,1728.103,3589.853,3001.853,2087.964,2165.538,3361.773,4096.150,7366.756,5028.356,7019.952,1979.591,1729.956,2324.812,1326.972,6983.885,2145.297,12011.413,3816.347,4848.186,1686.841,1742.205,2219.894,6962.226,2372.580,4452.179,3987.138,2064.242,3478.287
833,4410.537,2241.046,4077.341,2459.242,9879.892,3282.503,2307.510,2316.455,1922.436,3410.632,3114.073,1730.542,3591.663,3005.027,2091.632,2167.137,3367.107,4099.705,7373.162,5033.311,7027.095,1980.271,1731.254,2324.284,1326.535,6994.798,2146.046,12022.325,3845.159,4856.773,1688.499,1745.032,2223.129,6969.705,2375.661,4451.269,3990.521,2066.179,3478.716
834,4409.693,2238.564,4074.470,2455.384,9877.393,3281.097,2306.524,2314.813,1922.141,3405.113,3114.699,1731.161,3592.525,3004.912,2089.401,2164.202,3364.093,4093.123,7368.974,5031.966,7020.681,1976.907,1731.433,2321.023,1326.408,6991.732,2145.071,12023.949,3861.389,4861.015,1687.863,1745.706,2219.331,6967.854,2373.644,4451.834,3987.382,2064.858,3480.441
835,4407.522,2236.540,4075.149,2456.609,9879.392,3279.043,2304.036,2310.443,1921.479,3403.344,3110.319,1729.493,3591.594,3000.987,2085.486,2164.030,3359.182,4093.925,7363.985,5027.011,7016.933,1974.992,1730.587,2318.076,1325.895,6990.059,2143.596,12019.405,3877.454,4854.176,1686.273,1742.331,2221.979,6962.968,2372.634,4446.512,3987.668,2063.898,3479.876
836,4413.464,2237.688,4077.251,2457.697,9888.058,3287.034,2307.467,2313.096,1922.925,3405.367,3115.635,1732.970,3594.444,3002.524,2085.866,2169.017,3359.948,4099.928,7377.068,5031.457,7028.327,1975.406,1732.276,2316.413,1328.126,6993.010,2145.244,12031.740,3901.891,4864.609,1686.534,1744.474,2223.791,6962.840,2373.748,4451.463,3989.812,2063.167,3482.522
837,4405.944,2236.455,4075.629,2457.567,9875.040,3282.467,2304.834,2309.905,1921.673,3404.395,3111.823,1731.553,3591.751,2999.965,2086.923,2165.675,3362.340,4095.638,7366.572,5025.559,7026.930,1972.894,1731.102,2311.609,1326.537,6989.915,2144.789,12022.920,3920.624,4866.701,1688.523,1744.504,2220.717,6961.362,2373.222,4450.897,3985.170,2062.696,3476.040
838,4404.910,2237.879,4075.572,2457.055,9875.359,3281.552,2307.377,2311.011,1922.693,3402.539,3109.783,1732.312,3590.924,2997.435,2086.679,2164.748,3360.287,4090.610,7366.193,5023.674,7030.230,1970.743,1728.609,2310.563,1324.258,6987.330,2144.705,12020.380,3941.371,4868.469,1690.737,1743.059,2223.211,6958.819,2371.164,4449.735,3985.488,2061.694,3478.211
839,4405.871,2236.961,4077.170,2455.667,9877.205,3281.310,2306.274,2312.688,1921.887,3403.895,3112.710,1732.480,3591.460,2999.134,2084.397,2165.595,3362.294,4094.010,7361.964,5026.765,7035.719,1969.505,1728.596,2309.681,1325.505,6994.354,2145.193,12038.210,3972.769,4871.125,1687.938,1742.646,2224.912,6959.055,2372.500,4455.813,3985.720,2063.401,3477.222
