 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
472,1009.166,1163.972,1428.155,1053.814,972.232,985.688,959.943,1000.282,987.719,995.952,963.145,913.799,943.644,1117.490,1158.495,1123.103,999.423,996.436,957.662,931.387,1143.641,1145.824,1015.431,1025.206,1096.355,955.899,952.082,985.050,999.895,1104.327,1109.837,1148.635,968.292,985.805,972.844,1046.642,1022.762,986.686,1098.245,1010.517,970.502,1109.151,1077.938,972.692,1021.751,983.916
473,1006.133,1161.692,1416.363,1052.482,973.828,983.454,957.861,999.674,986.932,994.735,959.986,912.777,942.030,1113.900,1153.968,1119.224,997.827,995.940,956.744,930.761,1139.841,1141.794,1014.237,1024.030,1094.719,956.131,953.108,985.738,998.378,1099.936,1108.032,1144.925,966.049,984.621,973.054,1045.883,1023.537,986.574,1092.802,1009.055,971.682,1106.841,1075.270,970.718,1019.793,981.464
474,1001.757,1157.042,1409.921,1050.973,972.729,982.154,958.823,998.642,987.198,995.689,960.276,915.388,941.365,1112.839,1153.887,1116.506,996.034,995.364,956.479,931.801,1135.536,1136.400,1013.447,1022.541,1091.380,953.786,952.285,985.692,998.732,1100.448,1103.621,1139.203,965.815,984.748,973.413,1044.343,1022.253,985.872,1092.134,1010.087,972.152,1105.522,1074.240,969.314,1019.337,980.943
475,1001.747,1151.318,1399.211,1048.678,972.835,982.285,958.870,999.156,985.099,993.969,959.769,913.749,939.549,1109.845,1150.447,1112.437,994.762,993.779,954.621,930.108,1129.114,1133.523,1012.792,1021.174,1088.954,951.333,951.928,983.907,996.099,1095.690,1102.033,1136.994,963.572,980.516,971.743,1040.787,1020.125,985.512,1090.982,1010.473,971.939,1102.557,1070.249,968.758,1017.198,978.091
476,999.138,1150.594,1392.513,1046.337,972.815,982.593,956.947,996.576,985.028,994.212,956.126,913.804,939.450,1109.527,1146.354,1108.674,993.862,993.870,952.966,930.311,1125.259,1128.451,1010.243,1019.870,1087.422,953.812,951.903,982.453,996.411,1092.074,1098.551,1131.184,961.691,979.577,971.760,1040.037,1020.227,984.884,1085.898,1008.017,970.361,1100.639,1069.360,968.149,1014.174,976.178
477,995.740,1146.973,1384.380,1046.083,971.536,981.028,957.798,997.572,984.821,991.936,953.894,912.610,939.344,1106.850,1144.365,1107.320,993.942,993.064,951.919,930.745,1119.272,1123.328,1010.320,1019.796,1084.113,951.845,951.227,982.250,993.943,1088.676,1094.916,1127.880,961.392,980.420,972.399,1038.889,1018.161,983.773,1083.511,1009.108,970.217,1092.838,1066.614,967.589,1011.762,974.457
478,995.338,1142.827,1377.348,1045.137,971.552,981.036,959.312,995.754,983.786,992.567,953.402,911.912,938.346,1103.380,1140.770,1101.288,990.898,992.295,953.294,929.270,1117.143,1120.460,1008.669,1018.175,1082.071,950.792,951.129,985.074,994.421,1087.071,1093.766,1124.396,961.540,979.008,969.411,1037.153,1017.432,984.979,1078.725,1009.531,970.630,1092.529,1064.751,967.533,1009.215,973.772
479,993.083,1139.487,1371.796,1044.026,971.423,980.478,958.726,995.137,981.856,991.605,953.174,911.314,937.412,1102.924,1140.889,1099.569,992.823,990.003,953.050,928.888,1110.115,1117.473,1007.364,1016.610,1081.018,951.773,950.473,982.128,993.766,1083.950,1091.437,1121.998,960.374,977.483,969.978,1036.405,1016.344,983.357,1078.211,1010.900,969.952,1088.508,1062.796,965.372,1009.562,971.860
480,989.349,1139.509,1363.607,1044.666,971.694,982.107,960.272,1001.636,983.045,990.313,953.239,910.762,935.462,1102.226,1138.472,1097.745,992.115,988.432,953.122,927.757,1106.280,1113.443,1006.760,1016.249,1080.122,950.076,949.746,985.410,994.604,1080.728,1089.892,1118.056,959.748,976.022,968.285,1034.294,1015.955,983.159,1075.397,1009.251,970.431,1086.441,1061.846,963.841,1007.650,970.070
481,986.423,1135.702,1355.787,1042.319,970.342,980.714,958.742,1014.963,982.422,990.313,950.498,912.261,936.874,1098.623,1134.331,1092.668,989.498,986.867,951.252,926.642,1103.518,1109.271,1005.341,1012.386,1076.314,949.319,946.942,980.933,994.078,1076.750,1086.464,1115.884,958.467,975.862,968.517,1031.050,1013.401,982.274,1073.244,1007.840,968.637,1081.525,1056.774,963.950,1005.518,968.655
482,986.667,1133.775,1350.483,1042.300,971.094,981.397,960.778,1016.013,981.985,989.492,950.819,910.828,934.965,1098.050,1134.431,1091.407,989.761,987.249,949.250,928.933,1100.268,1105.733,1004.077,1013.816,1074.336,949.932,948.743,984.538,993.795,1074.974,1083.971,1110.935,958.240,976.135,967.956,1030.953,1013.734,982.719,1070.300,1010.234,968.189,1078.503,1055.808,964.103,1005.415,967.010
483,986.866,1130.310,1345.156,1040.952,971.008,980.242,958.769,1013.326,979.648,988.267,950.169,910.900,934.162,1096.593,1132.110,1088.854,988.422,986.805,947.588,928.331,1097.008,1101.342,1001.268,1014.010,1074.005,946.941,950.098,982.108,991.634,1070.967,1080.073,1106.889,957.153,973.553,966.943,1029.367,1013.141,981.505,1066.123,1008.238,967.007,1077.086,1057.278,961.450,1002.122,967.370
484,983.801,1127.896,1335.615,1039.249,969.728,980.152,957.739,1009.121,980.194,987.728,948.129,911.301,933.609,1094.662,1128.935,1086.790,989.467,984.352,948.644,927.671,1090.315,1097.668,1001.673,1012.063,1071.618,946.800,948.361,981.716,991.060,1068.691,1078.576,1102.586,956.560,971.544,966.755,1026.190,1012.142,981.311,1063.737,1008.050,966.473,1074.034,1054.777,960.993,1001.685,965.209
