 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
572,964.976,993.760,986.792,1097.185,993.700,1025.957,1421.331,1305.247,1101.695,1055.556,1044.586,883.017,1063.990,947.911,1137.781,1064.764,934.370,896.607,1018.357,1050.385,1049.251,1116.342,1059.642,1086.315,944.875,890.953,899.590
573,961.719,1041.787,992.447,1097.000,994.575,1026.682,1414.737,1299.842,1100.339,1052.738,1040.291,880.846,1057.120,948.379,1161.807,1090.123,936.630,896.667,1019.531,1069.469,1050.384,1134.177,1062.693,1106.177,957.552,892.398,910.097
574,963.102,1084.159,997.347,1097.653,993.747,1024.833,1408.363,1293.409,1098.553,1049.772,1036.273,881.622,1050.911,947.856,1165.778,1089.961,937.178,895.662,1019.018,1073.420,1049.297,1133.697,1067.332,1111.384,961.685,891.692,913.435
575,958.602,1120.337,1000.027,1096.000,995.108,1025.860,1402.353,1287.449,1095.661,1048.855,1031.464,882.343,1044.339,947.640,1191.428,1084.298,937.113,897.276,1020.466,1070.117,1050.224,1129.385,1068.610,1110.338,958.929,890.674,910.410
576,960.169,1137.983,1002.325,1095.719,995.663,1026.399,1396.980,1280.222,1092.145,1048.778,1024.893,882.279,1041.767,947.363,1202.778,1078.391,936.891,897.843,1029.312,1065.903,1048.268,1124.832,1065.941,1105.913,957.779,891.878,909.791
577,961.184,1136.714,998.533,1098.537,994.360,1025.374,1387.506,1275.760,1091.370,1048.944,1021.141,882.582,1047.723,947.027,1198.511,1073.324,937.553,897.866,1039.439,1062.678,1049.493,1120.445,1069.059,1099.771,955.018,890.293,907.339
578,959.925,1141.173,997.295,1097.931,996.277,1025.443,1378.545,1270.177,1088.192,1047.526,1019.447,882.185,1055.271,945.159,1195.208,1075.764,938.986,899.454,1042.826,1061.007,1049.950,1116.372,1068.830,1093.369,952.733,889.325,904.182
579,960.939,1161.270,998.856,1098.625,994.417,1025.288,1368.216,1263.364,1088.127,1045.166,1018.255,882.241,1070.340,947.911,1192.316,1126.546,938.661,898.693,1043.559,1058.347,1051.372,1112.251,1070.771,1085.793,948.990,890.574,901.805
580,966.773,1174.562,999.386,1100.500,994.997,1026.427,1359.868,1263.617,1087.878,1045.653,1018.058,885.019,1076.168,948.084,1216.510,1174.085,941.304,900.097,1045.760,1054.883,1053.649,1110.089,1072.670,1080.019,946.474,890.723,901.286
581,972.835,1170.480,997.465,1104.571,994.857,1025.202,1352.590,1259.747,1089.232,1045.101,1016.571,885.128,1070.449,948.796,1240.981,1185.004,942.766,899.393,1053.376,1052.827,1053.572,1106.435,1077.170,1071.956,945.388,889.173,899.771
582,976.555,1162.408,995.741,1108.196,993.980,1024.407,1344.016,1252.923,1087.361,1044.193,1016.165,885.587,1068.437,948.635,1272.610,1180.603,943.918,901.023,1055.078,1049.761,1072.224,1104.373,1083.136,1065.130,943.163,888.390,898.107
583,977.427,1150.572,991.674,1108.387,993.219,1025.811,1334.919,1248.356,1086.699,1043.177,1015.650,885.013,1064.573,948.348,1277.429,1207.557,945.136,901.831,1052.659,1046.029,1110.588,1100.711,1082.857,1059.488,940.205,888.386,896.797
584,987.232,1141.458,988.643,1110.244,993.051,1025.040,1326.247,1244.510,1088.260,1045.117,1017.515,889.106,1070.972,948.042,1268.675,1264.193,946.225,902.143,1048.965,1054.005,1122.809,1096.145,1079.475,1053.500,938.030,888.992,895.816
585,1008.706,1129.737,987.546,1107.476,990.846,1023.582,1321.838,1238.998,1086.769,1048.676,1016.115,892.326,1077.221,947.885,1253.257,1308.460,946.006,901.312,1046.699,1078.910,1122.503,1092.218,1081.280,1046.025,934.444,888.040,896.698
586,1013.040,1117.909,984.526,1105.188,990.259,1024.351,1320.245,1234.551,1089.789,1048.276,1017.523,896.928,1083.703,946.906,1239.608,1332.218,948.342,901.370,1041.228,1089.225,1118.279,1088.206,1078.825,1042.708,933.747,888.412,894.242
587,1013.189,1110.217,983.348,1104.416,990.287,1023.635,1315.252,1234.275,1093.220,1045.898,1014.862,899.973,1086.332,947.672,1228.503,1327.675,946.004,902.066,1039.370,1088.659,1112.817,1084.189,1071.759,1035.016,930.977,889.147,893.282
588,1009.201,1098.084,980.004,1104.509,987.947,1024.310,1311.540,1233.200,1095.348,1047.454,1013.790,901.071,1082.937,948.080,1210.022,1314.996,943.191,900.937,1034.732,1085.698,1107.970,1079.326,1067.925,1029.841,925.340,887.926,890.292
589,1010.617,1087.211,977.558,1103.563,986.765,1026.255,1307.275,1230.530,1097.808,1047.382,1011.792,898.868,1075.705,946.697,1191.994,1295.434,944.339,901.709,1032.006,1079.185,1100.260,1074.345,1061.496,1023.336,923.740,886.637,889.270
590,1007.013,1078.510,975.548,1104.857,987.135,1024.869,1300.072,1231.933,1100.453,1047.745,1011.434,897.915,1069.627,947.059,1178.602,1277.257,938.683,901.376,1029.259,1076.402,1094.392,1069.441,1061.239,1020.366,921.238,886.752,888.597
591,1007.466,1069.419,975.339,1103.743,987.268,1027.168,1298.502,1240.662,1106.469,1048.337,1009.146,897.559,1064.445,946.968,1165.021,1260.599,938.536,901.765,1026.435,1072.374,1089.856,1066.780,1056.735,1012.074,918.590,886.796,887.112
592,1005.770,1060.093,975.415,1101.154,986.696,1028.112,1296.355,1286.821,1107.256,1054.202,1006.755,895.542,1058.993,946.237,1150.650,1241.862,937.724,900.439,1023.201,1066.290,1083.115,1062.637,1052.807,1010.369,915.697,885.068,885.706
593,1003.744,1051.006,972.447,1099.795,985.956,1027.598,1293.143,1307.505,1107.879,1080.155,1004.368,895.925,1063.593,945.431,1138.353,1227.616,937.531,899.526,1020.827,1060.820,1079.235,1060.921,1050.739,1006.803,915.379,886.233,887.309
594,1001.325,1042.431,971.133,1099.345,984.897,1028.189,1290.444,1335.550,1108.108,1092.808,999.483,893.446,1064.021,944.109,1126.055,1211.746,936.136,899.087,1019.534,1054.540,1077.330,1057.319,1049.543,1005.575,913.416,888.567,887.113
595,999.436,1037.300,970.728,1099.672,985.114,1030.632,1297.236,1392.870,1112.519,1097.961,1000.729,892.284,1060.328,944.431,1115.922,1197.838,933.735,898.201,1018.600,1050.367,1077.872,1055.585,1047.220,1006.669,912.239,889.496,887.149
596,996.681,1029.389,966.829,1099.507,985.195,1035.031,1349.234,1461.727,1119.313,1099.682,998.772,891.699,1056.427,942.678,1103.492,1182.939,932.958,898.645,1015.216,1044.279,1075.148,1052.506,1043.688,1003.090,910.333,888.395,886.596
597,994.462,1022.506,965.205,1099.458,984.194,1035.941,1391.971,1514.814,1122.502,1099.353,999.081,889.712,1054.129,942.785,1093.390,1169.980,931.811,897.589,1014.546,1038.330,1072.535,1051.671,1040.741,1002.414,909.743,887.555,886.498
598,991.640,1016.936,964.654,1099.369,986.491,1041.070,1399.585,1569.797,1126.783,1099.052,1003.164,890.557,1064.856,943.182,1083.356,1156.999,935.870,898.625,1013.947,1035.777,1070.859,1053.551,1039.041,1001.115,907.805,888.471,887.680
599,992.566,1009.179,963.035,1099.127,985.294,1042.803,1401.282,1632.565,1132.238,1095.682,1004.740,891.116,1072.935,941.678,1074.452,1142.503,933.102,897.214,1013.696,1030.504,1069.767,1055.757,1033.793,999.192,906.735,888.844,893.910
600,990.068,1004.673,963.019,1102.196,987.241,1045.517,1428.124,1687.379,1138.151,1089.831,1005.370,889.575,1072.561,943.130,1066.876,1131.915,929.998,897.652,1013.530,1026.961,1065.046,1073.264,1039.293,997.466,906.430,889.360,897.123
601,990.282,999.965,963.254,1107.237,989.025,1048.843,1481.468,1739.683,1145.310,1089.622,1038.915,889.741,1068.610,943.532,1057.571,1122.904,933.937,898.592,1013.730,1024.246,1062.753,1086.996,1040.165,998.543,905.594,888.676,899.890
602,988.619,995.452,964.107,1108.042,991.112,1049.766,1500.732,1770.689,1150.190,1085.567,1061.800,886.974,1067.050,944.107,1050.556,1111.866,932.695,896.458,1015.273,1020.402,1059.794,1092.403,1045.193,996.564,906.660,888.565,899.429
603,985.455,993.164,964.604,1113.181,991.653,1050.410,1498.154,1776.252,1149.781,1081.979,1066.129,886.625,1068.086,942.645,1041.988,1101.914,931.055,896.890,1017.213,1017.018,1057.924,1092.951,1041.852,992.876,906.872,887.195,899.075
604,987.631,990.623,966.304,1125.363,993.075,1049.159,1487.588,1769.548,1150.214,1080.864,1076.036,885.948,1066.759,942.829,1036.863,1095.088,931.298,896.559,1018.756,1013.687,1059.334,1097.599,1043.707,993.350,907.477,886.943,896.377
605,985.888,987.255,968.623,1127.911,993.629,1048.542,1472.942,1753.348,1148.920,1078.586,1106.983,886.497,1064.037,944.042,1031.973,1086.617,928.000,896.682,1019.641,1012.716,1060.651,1092.331,1043.322,992.118,904.943,886.756,895.156
606,984.963,983.824,971.088,1124.594,991.505,1046.390,1457.443,1730.257,1143.669,1075.311,1114.641,883.368,1054.278,943.213,1025.089,1077.108,927.940,895.411,1022.162,1010.213,1055.977,1087.974,1032.115,992.112,904.236,884.388,892.056
607,984.168,980.017,973.290,1121.663,992.360,1043.162,1442.842,1709.825,1142.869,1074.807,1113.085,881.406,1048.963,943.868,1020.301,1068.916,925.396,894.874,1022.119,1009.518,1055.390,1084.916,1033.694,988.024,904.110,885.124,891.041
608,984.338,978.812,976.079,1118.607,992.440,1043.990,1431.793,1690.586,1140.185,1077.479,1109.538,882.227,1042.801,943.075,1015.688,1063.724,928.393,896.321,1023.286,1006.510,1054.752,1081.903,1033.186,989.814,904.727,886.078,891.534
609,981.193,978.040,978.834,1116.717,991.222,1041.121,1416.477,1670.665,1139.017,1077.020,1105.510,880.401,1038.234,942.872,1012.810,1057.117,926.444,895.521,1022.457,1003.667,1057.481,1079.469,1037.006,988.897,906.997,885.672,889.695
610,979.927,979.258,982.498,1113.894,989.998,1039.739,1407.354,1651.524,1135.160,1076.153,1098.351,879.096,1043.039,942.504,1010.381,1051.409,927.430,894.517,1021.911,1001.916,1060.914,1078.863,1038.080,990.446,908.519,885.732,889.410
611,978.937,1006.511,990.236,1114.955,989.642,1039.416,1394.723,1631.188,1131.547,1073.727,1090.924,883.025,1054.311,941.310,1010.174,1046.543,929.722,895.662,1021.285,1000.915,1060.793,1085.267,1054.558,990.190,912.587,886.512,889.350
612,976.841,1050.201,996.522,1113.095,992.305,1037.433,1384.558,1611.247,1128.005,1071.937,1081.748,881.028,1055.645,941.490,1005.136,1040.739,927.625,898.101,1020.417,998.683,1055.632,1089.576,1065.770,991.637,916.433,887.005,889.938
613,974.035,1097.373,1003.265,1111.993,992.573,1038.640,1375.231,1594.003,1123.914,1071.009,1075.653,882.216,1056.183,939.892,1007.398,1036.245,927.775,898.962,1019.840,996.839,1054.203,1093.314,1064.770,993.711,918.709,886.435,889.914
614,974.737,1136.143,1008.844,1112.374,995.248,1036.795,1368.111,1576.770,1119.335,1067.156,1068.053,883.163,1063.504,940.332,1006.486,1031.975,928.737,899.553,1018.430,995.363,1054.927,1090.418,1069.752,1011.257,921.285,887.089,891.547
615,974.431,1156.497,1014.768,1109.421,994.588,1036.181,1357.189,1560.958,1116.554,1064.359,1061.554,882.176,1075.780,940.631,1003.803,1053.889,930.163,900.728,1017.601,995.180,1053.954,1087.945,1066.765,1036.910,925.487,887.260,890.097
616,973.900,1171.743,1020.414,1108.507,994.826,1034.665,1351.338,1544.726,1113.391,1062.543,1057.506,883.541,1081.185,941.041,1003.107,1112.623,936.220,900.797,1015.326,994.351,1052.587,1100.294,1068.375,1053.732,925.456,887.805,892.787
617,971.732,1176.822,1024.612,1106.451,993.375,1032.390,1340.444,1525.508,1108.851,1060.053,1051.951,884.003,1077.480,940.932,1000.978,1147.714,936.483,901.497,1014.402,995.254,1049.579,1126.715,1080.442,1066.867,935.760,886.732,892.359
